Date,Close,High,Low,Open,Volume
,VEDL.NS,VEDL.NS,VEDL.NS,VEDL.NS,VEDL.NS
2023-01-02,230.71852111816406,232.1053093923372,225.68227829379694,226.22969647632604,13487019
2023-01-03,233.23660278320312,234.7328923299425,229.36819034431622,230.71849281715416,10680716
2023-01-04,225.02537536621094,232.39727855996273,223.49262216090497,232.10532662916657,16035314
2023-01-05,227.25152587890625,227.7259504875216,224.40495595271253,226.26616875362723,6589413
2023-01-06,226.01072692871094,229.55070247100238,225.2443503453661,227.90844784283146,4971988
2023-01-09,230.2805633544922,231.30240609038847,227.8719324574152,227.8719324574152,6356082
2023-01-10,230.6820068359375,233.34612640359168,228.45584853161247,231.74035753606057,8269189
2023-01-11,232.2147979736328,233.60158630394096,231.01048237822056,231.48490703404917,6183545
2023-01-12,231.08346557617188,233.56509020469622,229.62368376239255,233.56509020469622,4051242
2023-01-13,232.9812469482422,235.0249331089514,230.86454494846157,231.37547762589315,8446441
2023-01-16,231.4484405517578,234.29501099681804,229.55071949688246,234.14902388701776,5228181
2023-01-17,232.06883239746094,232.47026350312797,228.8208088170506,231.44842064592703,4146953
2023-01-18,236.59414672851562,237.798462339796,232.28779458313213,232.4702673204323,12239219
2023-01-19,241.44790649414062,243.7835663389256,234.69641551020334,236.1927052551291,14218085
2023-01-20,241.52088928222656,248.71031895112125,240.9004775753571,246.41116711931284,19053763
2023-01-23,240.2436065673828,244.11204204485512,239.7326962568141,241.55742366849785,4686210
2023-01-24,240.60850524902344,242.2142739687693,238.8932573607722,241.73984938891263,5123504
2023-01-25,238.12693786621094,242.83474370854054,236.92262217558178,240.86402910605244,7049679
2023-01-27,233.3826141357422,240.49905037600328,228.78431039798983,239.40421403134772,11670027
2023-01-30,234.9518585205078,237.1050454227824,230.900973241077,233.5650703700856,9562174
2023-01-31,242.61572265625,245.60827970187154,235.1343411794471,235.93722559771166,12559707
2023-02-01,239.4042205810547,246.88560247421265,234.5504504418577,245.97323882870558,11727712
2023-02-02,238.71084594726562,244.33101563492895,235.38985076105928,240.13414232678605,11308985
2023-02-03,238.52108764648438,245.00966463037003,233.74005042440118,243.22625376954733,11362212
2023-02-06,232.41201782226562,238.97646691820754,231.46339734135842,238.52112445543614,7244255
2023-02-07,233.85389709472656,234.461028048399,227.0238301937369,232.2222746336479,10473033
2023-02-08,238.3693389892578,239.4317892064157,234.84047572956155,234.8784112817295,7819410
2023-02-09,235.33375549316406,239.58357955374484,234.49896490203028,239.014407308837,5202003
2023-02-10,235.78909301757812,236.54798932833998,233.36061555926923,235.25785633617386,4235865
2023-02-13,234.30923461914062,238.90054800934516,233.74006238929655,236.0167513086728,5188595
2023-02-14,238.44517517089844,238.86255878178727,234.57480024575634,235.25780213615266,6566932
2023-02-15,237.5345458984375,239.65944631033526,236.09264753610134,238.2175479479991,5810417
2023-02-16,238.93850708007812,240.38040543258438,238.36933484937745,239.73533893918813,4366228
2023-02-17,238.29342651367188,241.25311730658802,237.53453025088947,238.93849296897213,4291109
2023-02-20,235.90292358398438,239.5835753348436,235.37168690088728,237.80016436693475,5264100
2023-02-21,233.77801513671875,238.21756348799704,232.98118322019556,236.51004667286531,6336180
2023-02-22,230.13531494140625,233.62624273486034,228.54162799660347,232.8673463953998,6166923
2023-02-23,229.86965942382812,232.79141449027836,228.9210391528816,229.60404111602818,4584146
2023-02-24,223.45703125,231.34954836591888,221.59772599745165,230.62858759623415,10491706
2023-02-27,218.06886291503906,223.07758327576698,213.06014255431114,223.07758327576698,10621491
2023-02-28,203.6498260498047,214.65382236267632,198.79289437812778,214.08465013959676,51008515
2023-03-01,211.4285125732422,212.4150684935914,201.98024442972576,202.66324646378885,18728209
2023-03-02,208.62059020996094,214.04669417431344,207.70992853715958,212.49096600847943,11979398
2023-03-03,219.51077270507812,220.7629470704228,209.87277964395676,210.13839800258842,16106822
2023-03-06,217.7653045654297,223.57085668225506,217.196132335159,221.97716980556172,10687170
2023-03-08,216.3233642578125,216.7028123783557,210.47987709725228,215.45063821249818,9159693
2023-03-09,216.66488647460938,220.68702746753544,215.9818844591641,217.8032308869103,6175922
2023-03-10,212.37713623046875,216.2475120296457,206.83717929135597,213.17396808926517,12081164
2023-03-13,211.58026123046875,218.10677348884323,209.18974272016143,210.93521795792128,11122038
2023-03-14,212.0355987548828,213.81900949977057,209.11384368257836,213.81900949977057,8027650
2023-03-15,212.7945098876953,216.20954310930136,212.26329639347344,214.8055803751503,6345240
2023-03-16,208.7344207763672,211.54234638689834,203.99131883944122,210.13838358163278,11692502
2023-03-17,215.906005859375,217.65145815429662,210.5937315500055,212.4909723747803,14420400
2023-03-20,212.41505432128906,214.99529692208338,208.69646735311412,213.28778037101245,8043963
2023-03-21,215.29888916015625,215.83010267332918,213.40164841380195,214.0087561887645,4662762
2023-03-22,216.5510711669922,218.41035326912092,212.56686545713046,216.28545282106583,9306264
2023-03-23,205.8506317138672,216.28545636295723,202.81504636140463,216.28545636295723,31634089
2023-03-24,204.71229553222656,212.1115351297769,203.57395097875727,211.73208694528716,21108973
2023-03-27,206.98895263671875,208.08936146547714,204.56047536757808,206.04033232216,9242191
2023-03-28,208.1273193359375,209.30359938827667,204.9020099205219,208.5447030552377,10805861
